id,ItemDescription,Diagnosis,PreventiveFlag
5582,Euthanasia Soln.(Euthasol) Inj (per ml) ,cancer ,0
5583,Ultrasound Recheck - other service,cancer ,0
5584,U/S Recheck Image Capture S. Cavity,cancer ,0
5585,"Fluid Therapy,Procedure(inc. Setup&Pump)",cancer ,0
5586,Nara:  Re-Evaluation / Recheck,Mass ,0
5587,Nara:  Cystocentesis,Mass ,0
5588,Nara:  Medical Waste Disposal (Outpatient),Mass ,0
5589,Nara:  Senior Profile 1 - Antech,Mass ,0
5590,Nara:  Lab. Shipping/Biohazard Handling,Mass ,0
5591,Jeffrey:  SQ Fluids per 100ml,Giardia  ,0
5592,Jeffrey:  Injection Fee 2,Giardia  ,0
5593,Jeffrey:  Comprehensive Illness Exam,Giardia  ,0
5594,Jeffrey:  Cerenia Inj. 10mg/ml,Giardia  ,0
5595,Jeffrey:  w/d Feline 5.5oz,Giardia  ,0
5596,Juju:  2. IDX Fecal Dx Profile w/ Giardia,Giardia  ,0
5597,Jeffrey:  Metronidazole 50mg,Giardia  ,0
5598,Opie:  Injection - Metacam (5mg/mL),otitis ,0
5599,Opie:  EAR SWAB - MICROSCOPIC EVAL'N,otitis ,0
5600,Opie:  Canine MCRC VCN Develop Large 14kg,otitis ,0
5601,Opie:  Otizole 15 ml,otitis ,0
5602,Opie:  E Collar 30cm,otitis ,0
5603,Opie:  CASTRATION K9 >45lbs(20kg) ,otitis ,0
5604,Sherlock:  Cerenia 16mg Tablets,Chronic IBD vomiting & diarrhea ,0
5605,Oliver:  PVD Canine HA (Hydrolyzed Form) 2.72kg,allergic dermatitis ,0
5606,Oliver:  Apoquel 5.4mg,allergic dermatitis ,0
5607,Kathy:  SIMPLICEF 100 MG TABLET,allergies? ,0
5608,Kathy:  OFFICE VISIT ROUTINE,allergies? ,0
5609,Kathy:  ANAL SAC THERAPY WITH VISIT,allergies? ,0
5610,Kathy:  TEMARIL-P TABLETS,allergies? ,0
5611,Kathy:  BORDETELLA-INJECTABLE,allergies? ,0
5612,Kathy:  MICROSCOPIC EXAMINATION,allergies? ,0
5613,Kathy:  CYTOLOGY PROCEDURE,allergies? ,0
5614,Kathy:  PEDICURE,allergies? ,0
5615,Toot:  Cephalexin 250mg Caps,cytopoint for skin  ,0
5616,Toot:  Medical Waste Fee,cytopoint for skin  ,0
5617,Toot:  Cytopoint Injection 20-30 lbs,cytopoint for skin  ,0
5618,Toot:  Physical Exam: Follow Up,cytopoint for skin  ,0
5619,Remy:  Exam Emergency Regular Hours,Suspected foreign material OS - pigmented scleral conjunctiva  ,0
5620,Becky:  Cystocentesis (ultrasound urine collect),allergy medication refill ,0
5621,Becky:  Uricult Paddle,allergy medication refill ,0
5622,Annabelle:  K-9 Z/D 25 lbs,lameness/arthritis associated with CCL tear RH prev dx ,0
5623,Avery:  Cytopoint 40mg,Suspect atopic dermatitis   ,0
5624,PEBBLES:  Biohazard Waste Disposal Fee,dental (FORL)- o stated previously approved under Boca Vet Clnic ,0
5625,PEBBLES:  Simbadol (buprenorphine) Inj 1.8mg/ml,dental (FORL)- o stated previously approved under Boca Vet Clnic ,0
5626,Giblet:  Brief Exam / Office Visit,Bandage Change ,0
5627,Giblet:  Bandage Minor,Bandage Change ,0
5628,Giblet:  Medical Waste Disposal,Bandage Change ,0
5629,Giblet:  CIV Bivalent Flu,Bandage Change ,1
5630,Jake:  Bile Acids Pre/Post,elevated liver enzymes ,0
5631,"Jake:  Hospitalization/Nursing, Partial Day ",elevated liver enzymes ,0
5632,Jake:  Ultrasound- Level 2,elevated liver enzymes ,0
5633,Jake:  NYS Mandated- Medical Waste Disposal Fee,elevated liver enzymes ,0
5634,Jake:  Denamarin Adv Chew Large Dog 30ct,elevated liver enzymes ,0
5635,Thurman:  Ear Swab & Cytology,Otitis Externa ,0
5636,Thurman:  Exam- Office Visit,Otitis Externa ,0
5637,Thurman:  Ears - therapeutic cleansing,Otitis Externa ,0
5638,Tristen:  Eye - Corneal Staining Recheck,holding OS shut ,0
5639,Tristen:  Exam - Medical Progress,holding OS shut ,0
5640,Tristen:  Triple Abx (Neo/Poly/Bac) Eye Ointment,holding OS shut ,0
5641,Ava:  Douxo Chlorhexidine Mousse #77408,Lacerated digit with secondary infection ,0
5642,Ava:  Eliz Buster Collar 20cm,Lacerated digit with secondary infection ,0
5643,Ava:  Office Visit: Sick/Injured,Lacerated digit with secondary infection ,0
5644,Ava:  OSHA Compliance/Biohazard,Lacerated digit with secondary infection ,0
5645,Ava:  Cytology: Skin,Lacerated digit with secondary infection ,0
5646,Tobias:  MalAcetic Otic 118mL,medication ,0
5647,Tobias:  Royal Canin Canine Renal Suppo S 8kg,medication ,0
5648,Tobias:  Routine Consultation,medication ,0
5649,Kobe:  NWVDS SL Immunotherapy - Initial&Demo,Allergies ,0
5650,Clayton:  Metronidazole Tablets 500mg,"Tramadol is for Spondilosis, Metronidizole is for Bloat, Apoquel is for allergies ",0
5651,"Teddy:  Sentinel Yellow 11.5/230 mg, 12-22kg",Deworming roundworms.  ,1
5652,Jake:  Vetoryl 10mg Box (30),Cushings ,0
5653,Jake:  Radiograph Set Up,Cushings ,0
5654,Jake:  Vetoryl 30mg Box (30),Cushings ,0
5655,Jake:  Famotidine 10mg (Pepcid AC 10mg),Cushings ,0
5656,Jake:  Denamarin 225mg (Box of 30),Cushings ,0
5657,Jake:  Examination,Cushings ,0
5658,Jake:  Biomedical Waste Disposal (Outpatient),Cushings ,0
5659,Jake:  Radiograph ,Cushings ,0
5660,Jake:  General Health Profile,Cushings ,0
5661,Gunner:  SkinGuard Restore Pads 30ct DISPMED,Skin ,0
5662,Gunner:  CADI (Cytopoint) 60.1-80lb OPINJ,Skin ,0
5663,Gunner:  Exam/Consultation  Recheck (within 30 day,Skin ,0
5664,Ava:  Wound Management mild,Lacerated digit with secondary infection ,0
5665,Ava:  Recheck: Full,Lacerated digit with secondary infection ,0
5666,Ava:  X-Ray Initial 1-2 views,Lacerated digit with secondary infection ,0
5667,Ava:  Convenia,Lacerated digit with secondary infection ,0
5668,Ava:  Meloxicam Injection,Lacerated digit with secondary infection ,0
5669,Ava:  Cytology: Skin,Lacerated digit with secondary infection ,0
5670,Ava:  Nail trim (with exam),Lacerated digit with secondary infection ,0
5671,Max:  Bio Hazardous Waste Fee,Osteo-Arthritis Follow Up  ,0
5672,Max:  Adequan injection over 1ml and up,Osteo-Arthritis Follow Up  ,0
5673,Max:  Office visit- follow up,Osteo-Arthritis Follow Up  ,0
5674,Max:  Doxycycline 100mg Capsule,Refill meds  ,0
5675,Max:  Omeprazole 20mg tablets (delayed release,Refill meds  ,0
5676,Max:  Tramadol 50mg tablet C4,Refill meds  ,0
5677,Max:  Enalapril Maleate Tabs 10mg,Refill meds  ,0
5678,Max:  Levothyroxine 0.8mg - Thyroid,Refill meds  ,0
5679,Max:  Galliprant 60mg Tablets,Refill meds  ,0
5680,Max:  Amlodipine  2.5mg tablets,Refill meds  ,0
5681,Discount,Thyroid ,0
5682,Pumpkin:  LEVOTHYROXINE SODIUM 0.2 MG,Thyroid ,0
5683,Bogey Boo Bear:  Apoquel (Oclacitinib) 3.6mg Tab D,Seasonal Allergies ,0
5684,Bogey Boo Bear:  Trazodone HCL (gen) 50mg Tab DISP,Seasonal Allergies ,0
5685,Stanley:  Consultation - Cardiology ,exercise intolerance ,0
5686,Stanley:  Ultrasound - Cardiac w Doppl,exercise intolerance ,0
5687,Stanley:  Consultation - Cardiology ,exercise intolerance ,0
5688,Stanley:  Ultrasound - Cardiac w Doppl,exercise intolerance ,0
5689,Rocket:  Purina Chicken & Rice Shredded Blend,cytology for oral mass on left lip-dx histiocytoma ,0
5690,Annabelle:  Z/D Canine 13 oz x 12,cytology for oral mass on left lip-dx histiocytoma ,0
5691,Mateo:  Laxaire 3 oz.,cytology for oral mass on left lip-dx histiocytoma ,0
5692,Mateo:  Discount - Employee (DM Pate),cytology for oral mass on left lip-dx histiocytoma ,0
5693,Mateo:  Purina DM 5.5 oz per Can,cytology for oral mass on left lip-dx histiocytoma ,0
5694,Annabelle:  Rabies 3yr (Imrab) Vaccine Adminstered,cytology for oral mass on left lip-dx histiocytoma ,0
5695,Annabelle:  RC Urinary SO 5.5oz Can,cytology for oral mass on left lip-dx histiocytoma ,0
5696,Annabelle:  Canine Hill's Z/D 13 oz x 12 cans,cytology for oral mass on left lip-dx histiocytoma ,0
5697,Annabelle:  Discount - Employee,cytology for oral mass on left lip-dx histiocytoma ,0
5698,Rocket:  Cytology Priority (605),cytology for oral mass on left lip-dx histiocytoma ,0
5699,Taggert:  Furosemide/Pimobendan,cytology for oral mass on left lip-dx histiocytoma ,0
5700,BUDDHA:  CULTURE AND SENSITIVITY (Aerobic),possible urinary tract infection ,0
5701,Indie Tru50:  Hydrocodone-Homat(Hycodan)1mg/mlSyrp,mainstem bronchial collapse  ,0
5702,DOOBOO:  CANINE NEUTER 1-50 LB <1 Y,neuter ,0
5703,DOOBOO:  LASER THERAPY Rx  POST Sx,neuter ,0
5704,DOOBOO:  HOME AGAIN MICROCHIP + REGISTRATION,neuter ,1
5705,DOOBOO:  CO2 Laser Surgery (elective),neuter ,0
5706,QUINN:  Metacam 180ml  1.5mg/ml,REFILL MEDICATION ,0
5707,SHADOW:  PVD CANINE EN CANS,DIARRHEA ,0
5708,SHADOW:  METRONIDAZOLE 250MG,DIARRHEA ,0
5709,Mayzie:  Amoxicillin 200mg,Frequent urination ,0
5710,Mayzie:  Examination,Frequent urination ,0
5711,Mayzie:  Urinalysis Complete T760 UA,Frequent urination ,0
5712,Mayzie:  Trifexis Green Single Dose 20.1-40 lbs,Frequent urination ,1
5713,Mayzie:  Distemper/Parvo Vaccine,Frequent urination ,1
5714,Mayzie:  Leptospirosis Annual Vaccination,Frequent urination ,1
5715,Toby:  Dolpac 10 tablets,Gastroenteritis ,1
5716,Toby:  Bord SQ (Bronchicine) Boost in 1 year,Gastroenteritis ,1
5717,Toby:  Exam - Annual With Vaccine,Gastroenteritis ,0
5718,Toby:  Lepto (Vanguard L4) Boost in 1 year,Gastroenteritis ,1
5719,Toby:  Aspirate - Fine Needle (In House),Gastroenteritis ,0
5720,Toby:  Cytology - 1 site (TN),Gastroenteritis ,0
5721,Pastina:  Lotensin (Benazepril) 5mg,heart disease ,0
5722,SHADOW:  PVD CANINE EN CANS,DIARRHEA ,0
5723,Charlie:  Exam ,Giardia concerned about re- infection ,0
5724,Charlie:  Metronidazole 250 mg,Giardia concerned about re- infection ,0
5725,Charlie:  IDEXX Ova and Parasites with Giardia,Giardia concerned about re- infection ,0
5726,Charlie:  Cerenia injectable,Giardia concerned about re- infection ,0
5727,Ziggy:  Maintenance Bath  26-50,IBD- Proviable Paste and Forte caps Proviable Forte caps- IBD Allergic Dermatitis- Bath ,0
5728,Ziggy:  Chronic Care Discount,IBD- Proviable Paste and Forte caps Proviable Forte caps- IBD Allergic Dermatitis- Bath ,0
5729,Theo:  Distemper Canine Vacc Booster - DAP,Grooming ,1
5730,Theo:  Parvovirus Canine Vacc Booster - Pv,Grooming ,1
5731,Theo:  Influenza Canine Vaccine Bivalent #1,Grooming ,1
5732,Theo:  Cytopoint Vaccine 20.1-30 lbs,Grooming ,0
5733,MINI-MAX:  HOME AGAIN MICROCHIP + REGISTRATION,NEUTER/DENTAL ,1
5734,Bruno:  CADI (Cytopoint) 100.1-120lb OPINJ,Allergies and Ear infection ,0
5735,Scout:  FUROSEMIDE 12.5 MG,Heart Murmur/IVDD ,0
5736,Scout:  HILL'S - K9 I/D LOW FAT 12.5 OZ (loaf),Heart Murmur/IVDD ,0
5737,Scout:  FLUOXETINE 10MG ,Heart Murmur/IVDD ,0
5738,Scout:  GABAPENTIN 250MG/5ML - 1OZ,Heart Murmur/IVDD ,0
5739,Scout:  VETMEDIN 2.5MG,Heart Murmur/IVDD ,0
5740,Scout:  APOQUEL 16MG,Heart Murmur/IVDD ,0
5741,Scout:  VETPROFEN 25 MG - CHEWABLE ,Heart Murmur/IVDD ,0
5742,Titus:  Dental Consultation-Yearly,COHAT and recheck RCT ,0
5743,ROCCO:  ANESTHETIC INDUCTION,Possible FB ,0
5744,ROCCO:  COMPREHENSIVE PROFILE,Possible FB ,0
5745,ROCCO:  PRE-ANESTHETIC MEDICATION,Possible FB ,0
5746,ROCCO:  EXPLORATORY LAPAROTOMY/10 MIN,Possible FB ,0
5747,ROCCO:  BLOOD COLLECTION,Possible FB ,0
5748,ROCCO:  ANESTHESIA (ISOFLURANE) / 10 MIN,Possible FB ,0
5749,ROCCO:  HOSPITALIZATION,Possible FB ,0
5750,ROCCO:  SURGICAL ASSISTANT / 10 MIN,Possible FB ,0
5751,ROCCO:  Hydromorphone 10 mg/mL 50 mL Vial,Possible FB ,0
5752,ROCCO:  FLUIDS ADMINISTRATION - IV,Possible FB ,0
5753,ROCCO:  Rheumocam Injectable 5 mg/mL 20 mL ,Possible FB ,0
5754,ROCCO:  Metacam Chewable Tablet 2.5 mg,Possible FB ,0
5755,ROCCO:  OR SETUP - MINOR,Possible FB ,0
5756,ROCCO:  Trazodone 50 mg,Possible FB ,0
5757,ROCCO:  Cefazolin Inj. (bottle),Possible FB ,0
5758,ROCCO:  RADIOGRAPH ADDITIONAL VIEWS,Possible FB ,0
5759,ROCCO:  Fentanyl CRI Small (2 mL),Possible FB ,0
5760,ROCCO:  RADIOGRAPH INITIAL VIEW,Possible FB ,0
5761,Indy :  Douxo Pyo Shampoo 500mL,Skin allergies ,0
5762,Bentley:  Canine Atopic Dermatitis Injection,Diet ,0
5763,Jacoby:  Purina K9 OM (Weight) Select Blend 18 lb,Diet ,0
5764,Bentley:  R.C. K9 Urinary SO Mod Cal 17.6 lb,Diet ,0
5765,Bentley:  Canine Atopic Dermatitis Inj 30mg,Diet ,0
5766,Milli:  Levetiracetam ( Keppra) 500mg 120ct bott,seizures (nasal sarcoma) ,0
5767,Milli:  Examination  Consultation,seizures (nasal sarcoma) ,0
5768,Milli:  Nail Trim Level I,seizures (nasal sarcoma) ,0
5769,Gurdie:  Rayne K9 Kangaroo Low Fat Maint 400gm ,Suspected Allergies  ,0
5770,Shelby:  Ophthalmology Brief Recheck Exam,Entropion ,0
5771,Shelby:  IV Catheterization,Entropion ,0
5772,Shelby:  CRVS - Chem10 (Pre-Ax panel),Entropion ,0
5773,Shelby:  Multi-Parameter Anesthesia Monitoring,Entropion ,0
5774,Shelby:  Anesthesia First 30 Minutes,Entropion ,0
5775,Shelby:  Anesthesia Additional (15 min),Entropion ,0
5776,Shelby:  Maropitant Injection,Entropion ,0
5777,Shelby:  Administer Medications,Entropion ,0
5778,Shelby:  Metoclopramide Injection,Entropion ,0
5779,Shelby:  Cefazolin Injection,Entropion ,0
5780,Shelby:  Dexamethasone SP Injection,Entropion ,0
5781,Shelby:  Additive to IV Fluids (1L),Entropion ,0
5782,Shelby:  Ophtho Surgical Supplies&O/R Use Level 2,Entropion ,0
5783,Shelby:  Standard Hospitalization,Entropion ,0
5784,Shelby:  Trazodone tablet 50mg #94134,Entropion ,0
5785,Shelby:  Blepharoplasty Level 2,Entropion ,0
5786,Shelby:  IV Fluids First Bag (1L),Entropion ,0
5787,Shelby:  Tramadol tablet 50mg #94133,Entropion ,0
5788,Shelby:  NeoPolyBac ophth ointment 3.5g #94131,Entropion ,0
5789,Shelby:  Carprofen caplets 100mg #94132,Entropion ,0
5790,Kipp:  Homeopathic 15 ml,IBD ,0
5791,Kipp:  Homeopathic 15 ml,IBD ,0
5792,Kipp:  Sulcrate Susp. 1g/5mL  DIN02103567,IBD ,0
5793,Kipp:  WV EXAM per 10 minutes,IBD ,0
5794,Zephyr:  Exam/Consultation   Medical Condition,Vomiting/diarrhea ,0
5795,Zoey:  Anafranil (Clomipramine) 50mg,Aniexty Clomipramine ,0
5796,Lansky:  PCV/TS,Recheck  ,0
5797,Lansky:  Metronidazole 250 mg Tablet,Recheck  ,0
5798,"Lansky:  Consultation, Medicine",Recheck  ,0
5799,Savage D:  Radiographs - Progress - 2 Views,Leg Sx ,0
5800,Savage D:  Tramadol 50mg,Leg Sx ,0
5801,Savage D:  Neurontin - Gabapentin 300mg,Leg Sx ,0
5802,Savage D:  Cerenia - Maropitant 24mg 4Pk,Leg Sx ,0
5803,Savage D:  Sedation,Leg Sx ,0
5804,Dieter:  Itraconazole 20mg/ml,skin achne on going  ,0
5805,Louie:  Microchip - Home Again BMAH Enrollment,Dental extractions ,1
5806,Jasmine:  Radiograph - Consultation DACVR,Strain/torn Groin ,0
5807,Jasmine:  Discount: Galliprant 100mg Chewable,Strain/torn Groin ,0
5808,Jasmine:  Amantadine 100mg Capsules,Strain/torn Groin ,0
5809,Jasmine:  Discount: Trazodone 100 mg tablets,Strain/torn Groin ,0
5810,Jasmine:  Radiograph - Digital 4 view,Strain/torn Groin ,0
5811,Jasmine:  Discount: Radiograph - Digital 4 view,Strain/torn Groin ,0
5812,Jasmine:  Galliprant 100mg Chewable,Strain/torn Groin ,0
5813,Jasmine:  Discount: Exam - ARWC Reassessment Exam ,Strain/torn Groin ,0
5814,Jasmine:  Trazodone 100 mg tablets,Strain/torn Groin ,0
5815,Jasmine:  Exam - ARWC Reassessment Exam 40,Strain/torn Groin ,0
5816,Brodie:  Fenbendazole (Panacur) Susp 10%/mL DISPME,Giardiasis ,0
5817,Denham:  Probenz-VM 310g,Probenz (probiotic) for gurgly stomach ,0
5818,Layla:  Canine Dental Prophy/Polish - Standard,"Re-Occuring Bladder Infection, dental with extractions ",1
5819,Layla:  Dental Pack Fee,"Re-Occuring Bladder Infection, dental with extractions ",0
5820,Layla:  Anesthetic - Local,"Re-Occuring Bladder Infection, dental with extractions ",0
5821,Layla:  Dental Exam & Charting,"Re-Occuring Bladder Infection, dental with extractions ",0
5822,Layla:  Anesthesia - General  / 10 minutes,"Re-Occuring Bladder Infection, dental with extractions ",0
5823,Layla:  Extraction - per Minute,"Re-Occuring Bladder Infection, dental with extractions ",0
5824,Layla:  X-rays - Dental - Full Mouth - Large,"Re-Occuring Bladder Infection, dental with extractions ",0
5825,Layla:  Anesthesia - General per Minute,"Re-Occuring Bladder Infection, dental with extractions ",0
5826,Layla:  Hospitalization - Day Admission,"Re-Occuring Bladder Infection, dental with extractions ",0
5827,Layla:  Fluids - IV - Anesthesia,"Re-Occuring Bladder Infection, dental with extractions ",0
5828,Layla:  Induction - with IV Catheter - K9/Feline,"Re-Occuring Bladder Infection, dental with extractions ",0
5829,Layla:  Tramadol HCL - 50mg Tablets,"Re-Occuring Bladder Infection, dental with extractions ",0
5830,Layla:  Urine Culture - Advantage - Idexx,"Re-Occuring Bladder Infection, dental with extractions ",0
5831,Layla:  Antirobe 150mg Capsules,"Re-Occuring Bladder Infection, dental with extractions ",0
5832,Layla:  Urinalysis - Complete - In Clinic,"Re-Occuring Bladder Infection, dental with extractions ",0
5833,Layla:  M-Eloxyn Oral Suspension 15mL Bottle,"Re-Occuring Bladder Infection, dental with extractions ",0
5834,Layla:  Injection - Metacam - per mL,"Re-Occuring Bladder Infection, dental with extractions ",0
5835,Lola:  X-Ray (14x17) - First Two Views,4 week recheck x-ray ,0
5836,Chancellor:  ProHeart 26-50 lbs/ 6 months,Itching ,1
5837,Chancellor:  CytoPoint Atopic Dermatitis 30mg red,Itching ,0
5838,Chancellor:  CytoPoint Atopic Dermatitis inj.Fee,Itching ,0
5839,Lulu:  ProHeart 0-10 lbs/ 6 months,Itching ,0
5840,Campari:  Entyce 30 mg/mL 30 mL Bottle,Pain management - not eating Please call with questions 952-884-8248. ,0
5841,Shylo:  ProGut Plus Powder 180gm,Allergies/On Going GI issues/Food for allergies  ,0
5842,Shylo:  MC/RC K9 Select Protien KO 14kg,Allergies/On Going GI issues/Food for allergies  ,0
5843,Chancellor:  Galliprant 60mg tablets,Food and medications ,0
5844,Molly:  Purina NF K-9 Dry 6#,Food and medications ,0
5845,Watson:  Panacur C 2gm per 3 pack (Green),giardia ,0
5846,Lulu:  Biomedical Waste Disposal (Outpatient),Penetrating ocular trauma right eye ,0
5847,Lulu:  Vaccination-DA2PCPv Annual,Penetrating ocular trauma right eye ,1
5848,Lulu:  Clavaseptin 250mg tablets,Penetrating ocular trauma right eye ,0
5849,Lulu:  Tonometry (Eye Pressure),Penetrating ocular trauma right eye ,0
5850,"MOON SHADOW (MOO):  Radiograph, Primary View",Collapsing episodes; syncope vs. seizures ,0
5851,MOON SHADOW (MOO):  Electrocardiogram Screening,Collapsing episodes; syncope vs. seizures ,0
5852,"MOON SHADOW (MOO):  Radiograph, Secondary View",Collapsing episodes; syncope vs. seizures ,0
5853,MOON SHADOW (MOO):  Electrocardiogram Full Consult,Collapsing episodes; syncope vs. seizures ,0
5854,MOON SHADOW (MOO):  Physical Examination/Office Ca,Collapsing episodes; syncope vs. seizures ,0
5855,MOON SHADOW (MOO):  Radiograph Referral Report,Collapsing episodes; syncope vs. seizures ,0
5856,"MOON SHADOW (MOO):  Radiograph, Additional Views",Collapsing episodes; syncope vs. seizures ,0
5857,MOON SHADOW (MOO):  Antech ( SA020) SuperChem & CB,Collapsing episodes; syncope vs. seizures ,0
5858,Chancellor:  Galliprant 60mg tablets,Food and medications ,0
5859,Rudy:  Dasuquin Lg Dog per Chew Tab,back treatment ,0
5860,Rudy:  Rovera (Carprofen) 75mg Cw Tab DISPMED,back treatment ,0
5861,Chubbs:  Acana K9 Yorkshire Pork 11.4kg,Allergies and Medication for pain  ,0
5862,Neo:  Adequan 100mg/ml,refill meds ,0
5863,Nemesis:  Cyclosporine 100mg Caps 30ct,refill meds ,0
5864,Parker:  Cefaseptin 750 mg Chew tab,Hot Spot  ,0
5865,Parker:  Recheck Examination and Consultation,Hot Spot  ,0
5866,Mac:  IDEXX MICROFILARIA,heartworm treatment ,0
5867,Mac:  IDEXX HEARTWORM AG ELISA,heartworm treatment ,0
5868,Harley:  4Cyte 100 gm,Recheck Lump and recheck bloodwork ,1
5869,Harley:  Consultation/Examination,Recheck Lump and recheck bloodwork ,0
5870,Nemesis:  Cyclosporine 100mg Caps 30ct,refill adequan  ,0
5871,Neo:  Adequan 100mg/ml,refill adequan  ,0
5872,Nemesis:  Carprofen 100mg Chewable Tablets,refill adequan  ,0
5873,Titan:  CT Scan,Trismus- stable to slightly improved hypodontia- oral pain/CT ,0
5874,Titan:  CT Review - Dr. Lipman,Trismus- stable to slightly improved hypodontia- oral pain/CT ,0
5875,Titan:  Dental Surgical Supplies,Trismus- stable to slightly improved hypodontia- oral pain/CT ,0
5876,Titan:  Anesthesia First 30 Minutes,Trismus- stable to slightly improved hypodontia- oral pain/CT ,0
5877,Titan:  Multi-Parameter Anesthesia Monitoring,Trismus- stable to slightly improved hypodontia- oral pain/CT ,0
5878,Titan:  Specialist Recheck,Trismus- stable to slightly improved hypodontia- oral pain/CT ,0
5879,Titan:  Anesthesia Additional (15 min),Trismus- stable to slightly improved hypodontia- oral pain/CT ,0
5880,Titan:  Dental Radiography - Full Mouth Canine,Trismus- stable to slightly improved hypodontia- oral pain/CT ,0
5881,Titan:  Specialists Examination & Consultation,Trismus- stable to slightly improved hypodontia- oral pain/CT ,0
5882,Titan:  Additive to IV Fluids (1L),Trismus- stable to slightly improved hypodontia- oral pain/CT ,0
5883,Titan:  Standard Hospitalization,Trismus- stable to slightly improved hypodontia- oral pain/CT ,0
5884,Titan:  Masticatory Muscle Myositis to UCSD,Trismus- stable to slightly improved hypodontia- oral pain/CT ,0
5885,Titan:  Overnight Shipping Fee,Trismus- stable to slightly improved hypodontia- oral pain/CT ,0
5886,Titan:  Carprofen caplets 75mg #99243,Trismus- stable to slightly improved hypodontia- oral pain/CT ,0
5887,Titan:  Carprofen caplets 75mg #99243,Trismus- stable to slightly improved hypodontia- oral pain/CT ,0
5888,Titan:  IV Catheterization,Trismus- stable to slightly improved hypodontia- oral pain/CT ,0
5889,Titan:  IV Fluids First Bag (1L),Trismus- stable to slightly improved hypodontia- oral pain/CT ,0
5890,Bishop:  PPVD DM Dietetic Management Fel 6lb 01781,Diabetes ,0
5891,Max:  EXAMINATION/CONSULTATION,Check for dry eye ,0
5892,Max:  SCHIRMER TEAR TEST,Check for dry eye ,0
5893,Rayne:  CBC,Lymphoma - generalized lymphadenopathy ,0
5894,Rayne:  Hazardous Drug Dispensing & Disposal,Lymphoma - generalized lymphadenopathy ,0
5895,Rayne:  Vincristine Sulfate Inj 1mg/ml,Lymphoma - generalized lymphadenopathy ,0
5896,Rayne:  Oncology Chemo Exam,Lymphoma - generalized lymphadenopathy ,0
5897,Rayne:  Sample Collection,Lymphoma - generalized lymphadenopathy ,0
5898,Rayne:  Chemo Administration - Level 2,Lymphoma - generalized lymphadenopathy ,0
5899,Bubs:  Recheck (brief),Allergies ,0
5900,Bubs:  Metacam Inj 5mg/ml,Allergies ,0
5901,Bubs:  INJECTION - IM/SC,Allergies ,0
5902,Luna:  Recheck,Having Trouble walking ,0
5903,Luna:  Prednisolone oral sol 15mg/5ml,Having Trouble walking ,0
5904,Potato:  Urinalysis/Recheck,Follow up urinalyis ,0
5905,Potato:  PVD Fortiflora K9/packet #46705,Follow up urinalyis ,0
5906,Potato:  Radiograph/Initial,Follow up urinalyis ,0
5907,Isabella:  Blood Pressure - Follow Up,renal disease ,0
5908,Isabella:  SDMA/TT4,renal disease ,0
5909,Isabella:  Biohazard 1,renal disease ,0
5910,Isabella:  Wellness Senior In House Profile,renal disease ,0
5911,Pete:  MISC Prescription CMP DISPMED,"KCS, medication is tacrolimus in oil ",0
5912,Samson:  Anesthetic Induction (Iso),Injured Toe ,0
5913,Samson:  PDS 2-0 Cutting,Injured Toe ,0
5914,Samson:  Simplicef 200mg,Injured Toe ,0
5915,Samson:  Metacam 32 ml,Injured Toe ,0
5916,Samson:  Bandage - Medium,Injured Toe ,0
5917,Samson:  Isoflurane Anes. Per Min,Injured Toe ,0
5918,Samson:  Surgery Time     Per/Min,Injured Toe ,0
5919,Samson:  Cefazolin Sodium 1G,Injured Toe ,0
5920,Libby:  Cytopoint 40mg,Allergies ,0
5921,Libby:  EXAMINATION - MINOR,Allergies ,0
5922,Libby:  Cytology in house(brief),Allergies ,0
5923,Libby:  Cytopoint 10mg,Allergies ,0
5924,Libby:  INJECTION - IM/SC,Allergies ,0
5925,Pickle:  Internal Medicine Recheck Brief,Retroperitoneal abscess recheck  ,0
5926,ELLIE:  Barium Contrast per 10ml,foreign body ,0
5927,ELLIE:  Electrolyte 4 Clip,foreign body ,0
5928,ELLIE:  Pancreatic/Lipase Snap -Canine cPL,foreign body ,0
5929,ELLIE:  Cerenia Injectable 10mg/mL,foreign body ,0
5930,ELLIE:  WP Examination (Co-Pay),foreign body ,0
5931,ELLIE:  Radiologiy Contrast Series Consultation,foreign body ,0
5932,ELLIE:  Radiologiy Contrast STAT Consultation ,foreign body ,0
5933,ELLIE:  Hospitalization dog & cat (Level 1),foreign body ,0
5934,ELLIE:  Biohazard Waste Disposal Fee,foreign body ,0
5935,ELLIE:  Radiology Consultation Stat Fee,foreign body ,0
5936,ELLIE:  Upper GI series,foreign body ,0
5937,ELLIE:  X-Ray survey ,foreign body ,0
5938,ELLIE:  Complete Blood Count w/ Diff. in house,foreign body ,0
5939,ELLIE:  Radiology Consult,foreign body ,0
5940,ELLIE:  Complete Chem. Profile (Clip 17),foreign body ,0
5941,Archie:  Wound Clip/Clean <5min,hot spot ,0
5942,Archie:  Exam/Consultation   Medical Condition,hot spot ,0
5943,Archie:  Dermachlor Rinse w/ Chlorhexidine 0.2% 4o,hot spot ,0
5944,Archie:  Cefpodoxime (Simplicef) 100mg Tab DISPMED,hot spot ,0
5945,Akua:  Examination - Consultation - Standard,EAR INFECTION.  ,0
5946,Akua:  Osurnia (1ml)/tube,EAR INFECTION.  ,0
